system,horizon_bucket,n,brier,log_score,calibration_error
aia_baseline,mid,255,0.22419976286065238,0.6355623121136309,0.19701197188280586
aia_baseline,near,523,0.2113758845008349,0.6079516266078069,0.1001551394542708
aia_baseline,short,299,0.16255707309736608,0.4864434578972278,0.09947184667574412
evidence_graph_v1,mid,255,0.24754466239888556,0.68270198054079,0.2030208491293255
evidence_graph_v1,near,523,0.21074962950647552,0.6025452836607219,0.1044707653193602
evidence_graph_v1,short,299,0.15808548590998375,0.4737060504885235,0.06535767660868365
historical_analog,mid,255,0.19744704247925574,0.5733718935129091,0.1158253500301424
historical_analog,near,523,0.19735429880271574,0.5697298397777728,0.04551951556954641
historical_analog,short,299,0.16212861716690136,0.48124519042563246,0.07428012757315242
historical_evidence_blend,mid,255,0.19846483250593305,0.578166480373207,0.1230263229222604
historical_evidence_blend,near,523,0.19850413765073613,0.5754834514051652,0.04361820766840824
historical_evidence_blend,short,299,0.16270293762507165,0.4831987173270136,0.0759777311844556
hybrid_analog_search,mid,255,0.19878013591961416,0.5801559724896691,0.12684164934786735
hybrid_analog_search,near,523,0.19862477287929609,0.5769075389154289,0.04708499136527431
hybrid_analog_search,short,299,0.16324345132054616,0.4857196004117943,0.07899360137143151
search_llm_loop,mid,255,0.19878013591961416,0.5801559724896691,0.12684164934786735
search_llm_loop,near,523,0.19862477287929609,0.5769075389154289,0.04708499136527431
search_llm_loop,short,299,0.16324345132054616,0.4857196004117943,0.07899360137143151
