question_set,selected_system,n,mean_brier,calibration_error,mean_market_sharpness,mean_base_prior_sharpness,mean_horizon_days,mean_evidence_strength,mean_source_hist_coverage
2025-03-02-llm,aia_baseline,641,0.2538690554627436,0.23244760152307417,0.05778019993771317,0.16387224361946046,136.10140405616224,0.3482497354063255,0.8549389594631405
2025-03-02-llm,historical_analog,893,0.1742038910699544,0.08175436059828171,9.176113609420927e-05,0.26264047334214125,134.82866741321388,0.4603084336320701,0.3460246360582307
2025-03-02-llm,search_llm_loop,1,0.5676393707409719,0.7534184565969777,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9841269841269841
2025-03-16-llm,aia_baseline,640,0.241072342476479,0.18167984975060397,0.059434699400625,0.167623761900625,134.6453125,0.34592204066150006,0.8131448412698413
2025-03-16-llm,historical_analog,894,0.1689797066607932,0.0833194652591348,8.681056968053242e-05,0.2645017993839982,135.40604026845637,0.4634103248088963,0.34116331096196867
2025-03-16-llm,search_llm_loop,5,0.26353722282459874,0.15341845659697773,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9174603174603174
2025-03-30-llm,aia_baseline,639,0.2369094614182579,0.18675735700727794,0.05681929760664452,0.16387250574435971,131.76682316118936,0.3484624751178295,0.8545594554984226
2025-03-30-llm,historical_analog,898,0.149975975857148,0.08128645354582101,0.0001013713378091325,0.2651715272398136,135.87750556792872,0.4646876812401149,0.33184855233853006
2025-03-30-llm,search_llm_loop,2,0.3142209141439942,0.2534184565969777,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9682539682539683
2025-04-13-llm,aia_baseline,630,0.2192916365415883,0.15633661475277236,0.05638552733825878,0.16640616225889368,133.73174603174604,0.35706287536625997,0.849242191500256
2025-04-13-llm,historical_analog,898,0.13581905315282164,0.09886630891445859,0.00010557020720236645,0.2648221626348193,135.11692650334075,0.4633466731127854,0.33853006681514475
2025-04-13-llm,search_llm_loop,1,0.06080245754701657,0.2465815434030223,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9774193548387097
2025-04-27-llm,aia_baseline,639,0.21966332747433573,0.18109738432028083,0.05201157662066716,0.16279248428889878,132.1846635367762,0.3555014948677351,0.8529945102715055
