question_set,system,n,brier,log_score,calibration_error
2025-03-02-llm,aia_baseline,1535.0,0.22232444959755207,0.6315635114318039,0.06202498715855977
2025-03-02-llm,evidence_graph_v1,1535.0,0.23478848684938264,0.6604976050628668,0.15958860984216286
2025-03-02-llm,historical_analog,1535.0,0.18984036643271557,0.5575291304562398,0.08895526665139984
2025-03-02-llm,historical_evidence_blend,1535.0,0.19057105682559375,0.5617358599337118,0.07215946674301128
2025-03-02-llm,hybrid_analog_search,1535.0,0.19073314428266241,0.5634767281980406,0.07162220704610084
2025-03-02-llm,market_only,1535.0,0.23861206109040103,0.6654652370871067,0.10204649672251355
2025-03-02-llm,reliability_routed_gate,1535.0,0.20772754309304814,0.5946778193223372,0.13431280007196936
2025-03-02-llm,search_llm_loop,1535.0,0.19073314428266241,0.5634767281980406,0.07162220704610084
2025-03-02-llm,source_routed_gate,1535.0,0.23062277231805817,0.6510919748659789,0.14948205105659923
2025-03-02-llm,taxonomy_routed_gate,1535.0,0.20762690194702096,0.593313667291511,0.13540475458872553
2025-03-16-llm,aia_baseline,1539.0,0.2174686295449479,0.6196244403328485,0.05400701160387432
2025-03-16-llm,evidence_graph_v1,1539.0,0.22662535489539368,0.6399650498291047,0.1430618479062628
2025-03-16-llm,historical_analog,1539.0,0.18541273613636144,0.5458534894910876,0.09384700008019603
2025-03-16-llm,historical_evidence_blend,1539.0,0.18608033047638753,0.5495801103595875,0.07329947395708815
2025-03-16-llm,hybrid_analog_search,1539.0,0.186218598450811,0.5510786193568379,0.07477401277341293
2025-03-16-llm,market_only,1539.0,0.23772498996118027,0.6617813776144211,0.06789333624099703
2025-03-16-llm,reliability_routed_gate,1539.0,0.19926695455088933,0.5735611005925784,0.11690933514072374
2025-03-16-llm,search_llm_loop,1539.0,0.186218598450811,0.5510786193568379,0.07477401277341293
2025-03-16-llm,source_routed_gate,1539.0,0.21768622656002576,0.6208066180078733,0.12819672344022143
2025-03-16-llm,taxonomy_routed_gate,1539.0,0.1991803386491726,0.5733570088465005,0.11761158862319394
2025-03-30-llm,aia_baseline,1539.0,0.21042503185640998,0.6049130887871556,0.11342217227152057
2025-03-30-llm,evidence_graph_v1,1539.0,0.2108995299956328,0.5989748843281839,0.13512596271584934
2025-03-30-llm,historical_analog,1539.0,0.17897082469137052,0.5275465447732256,0.0659855010374031
2025-03-30-llm,historical_evidence_blend,1539.0,0.1786131723287064,0.5265972315591698,0.044126808241588426
2025-03-30-llm,hybrid_analog_search,1539.0,0.1785394808339518,0.5268973861043236,0.04459681922516494
2025-03-30-llm,market_only,1539.0,0.23847927921044715,0.6630292214134426,0.13835700980127533
2025-03-30-llm,reliability_routed_gate,1539.0,0.18628460948295886,0.5414472314343607,0.11080010336945707
2025-03-30-llm,search_llm_loop,1539.0,0.1785394808339518,0.5268973861043236,0.04459681922516494
2025-03-30-llm,source_routed_gate,1539.0,0.20298385428481922,0.5819406989760393,0.11268516381708926
2025-03-30-llm,taxonomy_routed_gate,1539.0,0.18674568260122493,0.5429356591963219,0.11014655882302851
2025-04-13-llm,aia_baseline,1529.0,0.1983454759113356,0.5810155757562842,0.13794920081998946
2025-04-13-llm,evidence_graph_v1,1529.0,0.1751157071757775,0.5217923009158406,0.03941413220129573
2025-04-13-llm,historical_analog,1529.0,0.1685530786674008,0.5038886182989017,0.06324099715271873
2025-04-13-llm,historical_evidence_blend,1529.0,0.16710584704046,0.4994482915197544,0.04529526090771182
2025-04-13-llm,hybrid_analog_search,1529.0,0.16691099702307732,0.499200236721207,0.04456231127663857
2025-04-13-llm,market_only,1529.0,0.23935986681567356,0.6653569188062707,0.14014850517008215
2025-04-13-llm,reliability_routed_gate,1529.0,0.17016353381947774,0.5068310715435104,0.10097769114374978
2025-04-13-llm,search_llm_loop,1529.0,0.16691099702307732,0.499200236721207,0.04456231127663857
2025-04-13-llm,source_routed_gate,1529.0,0.16936161265033026,0.5085063682695594,0.0509501509650291
2025-04-13-llm,taxonomy_routed_gate,1529.0,0.17019440782136483,0.506908849278814,0.10100112565703656
2025-04-27-llm,aia_baseline,1561.0,0.20950778593472588,0.6046706063130066,0.10852632273336436
2025-04-27-llm,evidence_graph_v1,1561.0,0.20461742470272556,0.5950075207537675,0.11414080279559426
2025-04-27-llm,historical_analog,1561.0,0.18753373021712158,0.5509799986213914,0.08391497983539013
2025-04-27-llm,historical_evidence_blend,1561.0,0.18927171083976357,0.5574639552243353,0.08539750583164582
2025-04-27-llm,hybrid_analog_search,1561.0,0.18949872472746215,0.5591587376965721,0.0886827137346958
2025-04-27-llm,market_only,1561.0,0.24017302859341533,0.6676401082345683,0.061899643173800485
2025-04-27-llm,reliability_routed_gate,1561.0,0.1906851666255949,0.5573410583364451,0.08601147392373808
2025-04-27-llm,search_llm_loop,1561.0,0.18949872472746215,0.5591587376965721,0.0886827137346958
2025-04-27-llm,source_routed_gate,1561.0,0.19534145580303147,0.574622831555904,0.09635001603322485
2025-04-27-llm,taxonomy_routed_gate,1561.0,0.1906287547686216,0.5572053190987462,0.08613768838584694
2025-05-11-llm,aia_baseline,1530.0,0.20721468664091208,0.6021376398563071,0.10339394156035817
2025-05-11-llm,evidence_graph_v1,1530.0,0.19426305207931296,0.569767728040038,0.06766310212333314
2025-05-11-llm,historical_analog,1530.0,0.18629777538649353,0.5465907607407791,0.05154707357388852
2025-05-11-llm,historical_evidence_blend,1530.0,0.18683779237837986,0.5493852828498365,0.038936577791842335
2025-05-11-llm,hybrid_analog_search,1530.0,0.18697209190065608,0.550669668137258,0.039832757888338455
2025-05-11-llm,market_only,1530.0,0.24128679888641055,0.6716985332442129,0.13537117074327687
2025-05-11-llm,reliability_routed_gate,1530.0,0.18638245896391825,0.5478583083517136,0.05375821895585368
2025-05-11-llm,search_llm_loop,1530.0,0.18697209190065608,0.550669668137258,0.039832757888338455
2025-05-11-llm,source_routed_gate,1530.0,0.189425836426723,0.5584627556282895,0.06854014556137256
2025-05-11-llm,taxonomy_routed_gate,1530.0,0.18639686616672296,0.5467750984836924,0.05545021643316966
2025-05-25-llm,aia_baseline,1505.0,0.2083962020988233,0.6010341854401143,0.11435559332397156
2025-05-25-llm,evidence_graph_v1,1505.0,0.20338539178764875,0.5862861941251623,0.10754046893608805
2025-05-25-llm,historical_analog,1505.0,0.18806004402889617,0.5476779940793229,0.07213759898608643
2025-05-25-llm,historical_evidence_blend,1505.0,0.1889755185389728,0.5507520795737629,0.0705446136780333
2025-05-25-llm,hybrid_analog_search,1505.0,0.18923662391313495,0.5522454193611818,0.07287266684469113
2025-05-25-llm,market_only,1505.0,0.23866374325117284,0.6636287530974444,0.08250748553513561
2025-05-25-llm,reliability_routed_gate,1505.0,0.18959200956161754,0.5505027197604655,0.06236110132243507
2025-05-25-llm,search_llm_loop,1505.0,0.18923662391313495,0.5522454193611818,0.07287266684469113
2025-05-25-llm,source_routed_gate,1505.0,0.19904615378797494,0.5765155521671032,0.08428157738565782
2025-05-25-llm,taxonomy_routed_gate,1505.0,0.1896309673530809,0.5505966563908772,0.06242755861923387
2025-06-08-llm,aia_baseline,1507.0,0.2083610990035813,0.602118064168163,0.08081459087232923
2025-06-08-llm,evidence_graph_v1,1507.0,0.20391495367518606,0.5896511854850334,0.08118787280061109
2025-06-08-llm,historical_analog,1507.0,0.19034266494915983,0.5550788166736506,0.049657848839795925
2025-06-08-llm,historical_evidence_blend,1507.0,0.19094872263337026,0.5582233378009753,0.032901201216734656
2025-06-08-llm,hybrid_analog_search,1507.0,0.19117264326546962,0.5598736071492413,0.035529564898796495
2025-06-08-llm,market_only,1507.0,0.23912851055072018,0.6654435083397169,0.13244439046419976
2025-06-08-llm,reliability_routed_gate,1507.0,0.1902358819549954,0.5547743180077355,0.05701591421514081
2025-06-08-llm,search_llm_loop,1507.0,0.19117264326546962,0.5598736071492413,0.035529564898796495
2025-06-08-llm,source_routed_gate,1507.0,0.19903320065212274,0.578600540508415,0.07109723510833274
2025-06-08-llm,taxonomy_routed_gate,1507.0,0.190283680807584,0.5548859183292926,0.05775468654244382
2025-06-22-llm,aia_baseline,1460.0,0.20300715128170796,0.5904258580650525,0.10516422238805846
2025-06-22-llm,evidence_graph_v1,1460.0,0.19110010196232627,0.5612780888697105,0.07094032324085921
2025-06-22-llm,historical_analog,1460.0,0.19266775800261243,0.5609519238850512,0.048203957680044
2025-06-22-llm,historical_evidence_blend,1460.0,0.19373406563924192,0.5650998045688018,0.04864384393105442
