question_set,question_id,source,selected_system,outcome,probability,brier,hist_available,market_available,market_sharpness,base_prior_sharpness,horizon_days,evidence_strength,evidence_disagreement,source_hist_coverage,source_prior_sharpness
2025-03-02-llm,c4556210c1c530bd94a602094abc8875e53804b3befd5141a966766774b570eb::2025-03-09,acled,historical_analog,0,0.0635,0.00403225,0.0,0.0,0.0,0.4365,7.0,0.65,0.0,0.0,0.40800000000000003
2025-03-02-llm,9a13e6cd780ae1fbcb151c32b5bd8b74890a3fa5e9dce73a8b196d7ba805e183::2025-03-09,acled,historical_analog,0,0.0635,0.00403225,0.0,0.0,0.0,0.4365,7.0,0.65,0.0,0.0,0.40800000000000003
2025-03-02-llm,c0519eef069a9f3181d365e780e41c8269095dace0623cce322651fde8f6c88f::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,147dd89b0b7983e83a136804ca8542fb89839c30ff00b1e2aef91a40969fed11::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,7bfeb70a394235fc918bf2335240307747ede7f90984fe7d285addccc40bed24::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,6e9bac5f477266f4b6768411cd4ba4d2c9d065b42eeda14eb73ddeca49338e64::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,717189ea4297d2bd8c71130f9f4df7f17e710022e01f1af1d6ab7ed0a1af3905::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,9a678195eae4d8f4654163c8c29239d1d605cf4a63f426c75ad2b3953f6bc97b::2025-03-09,acled,historical_analog,0,0.0635,0.00403225,0.0,0.0,0.0,0.4365,7.0,0.65,0.0,0.0,0.40800000000000003
2025-03-02-llm,2d174ea076671029f5f979a23e79ea4dfa45348b432508da0815b05578e94f19::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,ac7b7ca153f613fa81d9c0eff4f0aa25bb62bba04da7610ae4eec7e1586425bb::2025-03-09,acled,historical_analog,0,0.0635,0.00403225,0.0,0.0,0.0,0.4365,7.0,0.65,0.0,0.0,0.40800000000000003
2025-03-02-llm,c2f855cdf819c8583f43bbe6ad849fdfb75532f3f3b120a8b566f35e9ceaebcb::2025-03-09,acled,historical_analog,1,0.10200000000000001,0.806404,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,0666e0e9870b24a330020ab0360019637b400f4ccfd948582ac981ce09c5bb3b::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,524d8228bdba3a16a5591f5de0373847d1186c0b789e078d87d8364434dc7e99::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,dbfa8b923d0016c40e12589fe3def61537569e9f8a098540e27cca33e26a1860::2025-03-09,acled,historical_analog,0,0.0635,0.00403225,0.0,0.0,0.0,0.4365,7.0,0.65,0.0,0.0,0.40800000000000003
2025-03-02-llm,8b6e62ac7f89d03b59f15f5dcfa721c9515a9d8f7c50e5529d28eb0f007afae6::2025-03-09,acled,historical_analog,1,0.10200000000000001,0.806404,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,5c78934d8767272a2a6576a8cce3d7860ef120ef34db3bb5f7af189bce405315::2025-03-09,acled,historical_analog,0,0.0635,0.00403225,0.0,0.0,0.0,0.4365,7.0,0.65,0.0,0.0,0.40800000000000003
2025-03-02-llm,c08b57f404bdbb645efdc7fa09a1bad1130eb88b89d38471e4f8b0ea084d3f9e::2025-03-09,acled,historical_analog,1,0.10200000000000001,0.806404,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,7c03640d48debf66a4a4764e82b6b8a2e75000c9f9f7b86f64dc0c264c6bbcc9::2025-03-09,acled,historical_analog,0,0.0635,0.00403225,0.0,0.0,0.0,0.4365,7.0,0.65,0.0,0.0,0.40800000000000003
2025-03-02-llm,10f8102f4bdd0b5db500869814917ff6f93cbd646ee39b75aad04e35c82a9269::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,734e27101e4087730723824d0cdf18b0bca67d89cb6bb9c686117d52b06ac9dc::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,f9a2a27d9881905bd2ae860175c4428a0fddf07fc79c7cca18fe239c4b15b65d::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,eb1f8fe4a204741916dea409f18e806711408b361f96017b9ba617a74e3958c9::2025-03-09,acled,historical_analog,0,0.0635,0.00403225,0.0,0.0,0.0,0.4365,7.0,0.65,0.0,0.0,0.40800000000000003
2025-03-02-llm,b9644f0584c7a45d3ee725dd4bd74a8cb230e3cda5d83cb294914daf99670587::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
2025-03-02-llm,43f1c15641c235294c3ac293947171fca2cc468d9266f8ea6a3471faae907109::2025-03-09,acled,historical_analog,0,0.10200000000000001,0.010404000000000002,0.0,0.0,0.0,0.398,7.0,0.607,0.0,0.0,0.40800000000000003
