question_set,selected_system,n,mean_brier,calibration_error,mean_market_sharpness,mean_base_prior_sharpness,mean_horizon_days,mean_evidence_strength,mean_source_hist_coverage
2025-03-02-llm,aia_baseline,576,0.2743199277528752,0.25647332029515635,0.023880381944444445,0.14194461805555558,131.640625,0.3478472222222223,0.9514164462081128
2025-03-02-llm,historical_analog,958,0.16745609974586556,0.07944169768855973,0.024388257677042034,0.2691231219776683,137.59707724425888,0.4529472981512455,0.32254697286012524
2025-03-02-llm,search_llm_loop,1,0.5676393707409719,0.7534184565969777,0.0,0.19700000000000006,90.0,0.5707000000000003,0.9841269841269841
2025-03-16-llm,aia_baseline,289,0.21658365813004238,0.004786440502631545,0.05259841403875432,0.13494789500761245,137.34602076124568,0.26862422145328724,0.8190476190476189
2025-03-16-llm,historical_analog,1193,0.17360242819849736,0.11943937359647318,0.019207774189852807,0.24685655876655022,136.50712489522212,0.4428919835729365,0.45347862531433364
2025-03-16-llm,search_llm_loop,57,0.24693660901970163,0.07012442601727877,0.0,0.19700000000000004,90.0,0.5707000000000003,0.9174603174603174
2025-03-30-llm,aia_baseline,345,0.20093970120665625,0.16592874373339653,0.10550308009274911,0.16562771777390853,138.6695652173913,0.27656336044613383,0.7217391304347827
2025-03-30-llm,historical_analog,1194,0.17048630859922348,0.08006349281509371,0.0,0.23960720268006702,132.79396984924622,0.4570218592964825,0.5
2025-04-13-llm,aia_baseline,339,0.18890870472974108,0.14312687110572275,0.10502266746068069,0.17068048456982524,139.7787610619469,0.27497602930980836,0.7150442477876107
2025-04-13-llm,historical_analog,1190,0.1608093532156409,0.08140286849386832,1.2605042016806733e-05,0.2394810924369748,133.01764705882354,0.46083088235294123,0.5021848739495799
2025-04-27-llm,aia_baseline,359,0.19177788353246294,0.2074048416381077,0.05879329414602763,0.15636432478669615,126.37604456824512,0.321315598885794,0.8495821727019499
2025-04-27-llm,historical_analog,1202,0.18231732548455712,0.08111331200239218,0.010162136829220994,0.24102777742822265,136.13477537437603,0.4469447966292281,0.4550748752079867
2025-05-11-llm,aia_baseline,362,0.21028445386055086,0.08074233836332827,0.062120667268212845,0.1538444241742902,130.18508287292818,0.3254196132596686,0.8674033149171271
2025-05-11-llm,historical_analog,1168,0.17534724325318873,0.07279229365589666,0.010074352985582046,0.24221861668421216,135.6207191780822,0.44887785081657783,0.4623287671232877
2025-05-25-llm,aia_baseline,359,0.20488578158133094,0.11216250713201284,0.06529091805223432,0.161313202174797,131.35654596100278,0.32156044568245135,0.8495821727019499
2025-05-25-llm,historical_analog,1146,0.18046506084899605,0.04137721718699998,0.011405961631569822,0.24184880630870767,135.4546247818499,0.44853936084647766,0.4712041884816754
2025-06-08-llm,aia_baseline,338,0.21564893956338005,0.022021107333578517,0.06110548956970304,0.15815874400757288,129.8639053254438,0.31998195266272195,0.8579881656804734
2025-06-08-llm,historical_analog,1169,0.1814969066750297,0.06737120899991882,0.012599100167571667,0.24217737219494548,135.02309666381524,0.4473182982530417,0.4602224123182207
2025-06-22-llm,aia_baseline,362,0.20054273058569566,0.12135560550414308,0.07612094639606982,0.16463475855076598,126.44198895027624,0.32767320441988956,0.8287292817679558
2025-06-22-llm,historical_analog,1098,0.1868754948496583,0.08614219346152431,0.012525797766238585,0.23196250086277775,121.94626593806922,0.43509479430438447,0.49271402550091076
2025-08-03-llm,aia_baseline,291,0.2149551581483781,0.051995467927513375,0.07732622026274427,0.16893103125930783,81.80756013745705,0.3206020618556702,0.8247422680412371
2025-08-03-llm,historical_analog,945,0.17022928221817007,0.11259492345367564,0.01454124023153622,0.24258409737439338,79.90687830687831,0.44082009238357517,0.4624338624338624
2025-08-17-llm,aia_baseline,280,0.21691378713412113,0.11912045786679167,0.08137810391711449,0.17189953248854306,79.80714285714286,0.3221628571428572,0.7857142857142857
2025-08-17-llm,historical_analog,935,0.1687066568268251,0.11717378355171022,0.01625083637657109,0.2440310502803144,79.50802139037434,0.44032484451348214,0.4566844919786096
2025-08-31-llm,aia_baseline,291,0.21557979155245985,0.06488041952020453,0.07734486636082474,0.16894967735738833,78.82474226804123,0.32073951890034375,0.8109965635738832
2025-08-31-llm,historical_analog,922,0.1569940839504442,0.11393768574274657,0.013092750968546637,0.2420336403394794,78.61062906724511,0.4423287142403905,0.4642082429501085
2025-10-26-llm,aia_baseline,73,0.013444887007282155,0.003261604306341423,0.478049650716508,0.478049650716508,54.47945205479452,0.38123287671232875,0.0
2025-10-26-llm,historical_analog,1004,0.2002589358175019,0.024970050676134566,0.009754235385852041,0.21342355809501537,77.0219123505976,0.428130161970086,0.5756972111553785
2025-11-09-llm,aia_baseline,267,0.18148132677318152,0.013812800837258197,0.11970099221131002,0.2015361982038194,70.85393258426966,0.32520599250936333,0.7340823970037453
2025-11-09-llm,historical_analog,765,0.17585952024349366,0.06459410991479672,0.01371098754965598,0.2438861509483488,76.52679738562091,0.4566659559671044,0.4522875816993464
2025-11-23-llm,aia_baseline,80,0.012402612800439965,0.0020657835479825095,0.4811778282330298,0.4811778282330298,50.025,0.37699999999999995,0.0
2025-11-23-llm,historical_analog,985,0.20110516826597621,0.09413768006137692,0.008053011683558702,0.21249260559218816,76.32893401015228,0.4282663455491667,0.5868020304568528
2025-12-07-llm,aia_baseline,71,0.027394961340855728,0.018256592410092417,0.4813858094140845,0.4813858094140845,38.53521126760563,0.3792957746478873,0.0
2025-12-07-llm,historical_analog,983,0.19962109034767492,0.06237357367605468,0.008062465375890133,0.21341750098118006,75.33265513733468,0.4207612722548932,0.5879959308240081
