question_set,min_hist_coverage,market_override_sharpness,prior_override_sharpness,source_prior_route_sharpness,noisy_source_strength,max_hist_horizon_days,search_strength,max_search_disagreement,fallback_system
2025-03-02-llm,0.5,0.4785,0.30000000000000004,0.14975000000000002,0.3,400,0.5,0.06549860815457668,aia_baseline
2025-03-16-llm,0.995260663507109,0.4799,0.32,0.14977018633540373,0.47546648648648654,400,0.5,0.0,aia_baseline
2025-03-30-llm,0.9972489683631361,0.05,0.18,0.3486666666666667,0.4749175,400,0.5,0.0,aia_baseline
2025-04-13-llm,0.9980582524271845,0.05,0.18,0.350325,0.4748495652173913,400,0.5,0.0,aia_baseline
2025-04-27-llm,0.9985007496251874,0.4357811764477981,0.33499999999999996,0.14976579203109816,0.4747540585774058,400,999.0,0.06549860815457668,aia_baseline
2025-05-11-llm,0.9987797437461867,0.435,0.32319266051749296,0.14969630212431156,0.47475181208053696,400,999.0,0.10256410256410257,aia_baseline
2025-05-25-llm,0.9989727786337956,0.435,0.32,0.14982758620689654,0.474962905982906,400,999.0,0.10843046896177824,aia_baseline
2025-06-08-llm,0.9991087344028521,0.435,0.32000000000000006,0.14987435750999428,0.47551366583541155,400,999.0,0.10843046896177824,aia_baseline
2025-06-22-llm,0.9992147624656459,0.434,0.32,0.1497139979859013,0.4755589473684211,400,999.0,0.10843046896177824,aia_baseline
2025-08-03-llm,0.9992970123022847,0.435,0.272,0.14981692032229185,0.4755418860510806,400,999.0,0.10843046896177824,aia_baseline
2025-08-17-llm,0.9993514915693904,0.435,0.28500000000000014,0.14930098684210527,0.47429406012314385,400,999.0,0.10843046896177824,aia_baseline
2025-08-31-llm,0.9993977717554954,0.435,0.3004936039,0.14883524027459955,0.47322771611167175,400,999.0,0.10843046896177824,aia_baseline
2025-10-26-llm,0.999438202247191,0.435,0.31,0.14850480256136606,0.47215262166405025,400,999.0,0.10843046896177824,aia_baseline
2025-11-09-llm,0.9994675186368477,0.44,0.32,0.14818727090969677,0.47134370743263254,400,999.0,0.10843046896177824,aia_baseline
2025-11-23-llm,0.9994937990382182,0.4435,0.33499999999999996,0.14791053299492385,0.47070651502386973,400,999.0,0.10843046896177824,aia_baseline
2025-12-07-llm,0.999517024873219,0.4465,0.34536760775312403,0.14764294258373206,0.47008618016573106,400,999.0,0.10843046896177824,aia_baseline
