question_set,variant,n,route_change_rate,brier,delta_brier_vs_base,log_score,delta_log_vs_base
2025-03-02-llm,base,1535,0.0,0.20781684776087056,0.0,0.5953194093864009,0.0
2025-03-02-llm,hist_coverage_minus_0.10,1535,0.0,0.20781684776087056,0.0,0.5953194093864009,0.0
2025-03-02-llm,hist_coverage_plus_0.10,1535,0.0,0.20781684776087056,0.0,0.5953194093864009,0.0
2025-03-02-llm,market_sharpness_minus_0.05,1535,0.013029315960912053,0.20779408691375842,-2.276084711214099e-05,0.5949786272710228,-0.0003407821153781354
2025-03-02-llm,market_sharpness_plus_0.05,1535,0.018241042345276872,0.20783790081155112,2.1053050680563956e-05,0.5942888964669489,-0.001030512919451998
2025-03-02-llm,prior_sharpness_minus_0.06,1535,0.0,0.20781684776087056,0.0,0.5953194093864009,0.0
2025-03-02-llm,prior_sharpness_plus_0.06,1535,0.0,0.20781684776087056,0.0,0.5953194093864009,0.0
2025-03-02-llm,source_prior_minus_0.06,1535,0.003257328990228013,0.20788131651703146,6.446875616089587e-05,0.5954259114727583,0.0001065020863573185
2025-03-02-llm,source_prior_plus_0.06,1535,0.0,0.20781684776087056,0.0,0.5953194093864009,0.0
2025-03-02-llm,noisy_strength_minus_0.05,1535,0.2013029315960912,0.21049356141760606,0.0026767136567354965,0.6010745651127535,0.0057551557263525455
2025-03-02-llm,noisy_strength_plus_0.05,1535,0.20195439739413681,0.20717849432196542,-0.0006383534389051426,0.5940390422567435,-0.0012803671296574004
2025-03-02-llm,horizon_150,1535,0.14071661237785016,0.201085585280083,-0.006731262480787564,0.581871488442976,-0.013447920943424951
2025-03-02-llm,horizon_9999,1535,0.0,0.20781684776087056,0.0,0.5953194093864009,0.0
2025-03-02-llm,search_enabled_low,1535,0.0013029315960912053,0.20792061220766336,0.00010376444679280339,0.5955403625726685,0.00022095318626758065
2025-03-16-llm,base,1539,0.0,0.18438970809260077,0.0,0.5436254453327588,0.0
2025-03-16-llm,hist_coverage_minus_0.10,1539,0.18778427550357374,0.18551393645443642,0.0011242283618356497,0.5460423551408444,0.002416909808085621
2025-03-16-llm,hist_coverage_plus_0.10,1539,0.0,0.18438970809260077,0.0,0.5436254453327588,0.0
2025-03-16-llm,market_sharpness_minus_0.05,1539,0.014294996751137101,0.1843630570366653,-2.6651055935467127e-05,0.5432508884252166,-0.0003745569075421784
2025-03-16-llm,market_sharpness_plus_0.05,1539,0.02014294996751137,0.184390806685112,1.098592511239449e-06,0.5436670408971478,4.159556438898537e-05
2025-03-16-llm,prior_sharpness_minus_0.06,1539,0.0,0.18438970809260077,0.0,0.5436254453327588,0.0
2025-03-16-llm,prior_sharpness_plus_0.06,1539,0.0,0.18438970809260077,0.0,0.5436254453327588,0.0
2025-03-16-llm,source_prior_minus_0.06,1539,0.2046783625730994,0.18541163754385015,0.001021929451249376,0.5458118939266986,0.0021864485939397937
